Area,Updated_Today,Now_Confirmed,Suspect,Grade
台湾,True,2006,0,Not_Available
地区待确认,True,2006,0,Not_Available
辽宁,True,151,0,Not_Available
大连,False,146,0,部分中风险
境外输入,False,5,0,Not_Available
丹东,False,0,0,Not_Available
地区待确认,False,0,0,Not_Available
营口,False,0,0,全部低风险
铁岭,False,0,0,Not_Available
抚顺,False,0,0,Not_Available
朝阳市,False,0,0,Not_Available
沈阳,False,0,0,Not_Available
葫芦岛,False,0,0,Not_Available
鞍山,False,0,0,Not_Available
锦州,False,0,0,Not_Available
盘锦,False,0,0,Not_Available
阜新,False,0,0,Not_Available
辽阳,False,0,0,Not_Available
本溪,False,0,0,Not_Available
云南,True,96,0,Not_Available
境外输入,True,59,0,Not_Available
德宏州,False,37,0,部分中风险
昭通市,False,0,0,Not_Available
曲靖,False,0,0,Not_Available
昆明,False,0,0,Not_Available
保山市,False,0,0,Not_Available
玉溪,False,0,0,Not_Available
红河,False,0,0,Not_Available
地区待确认,False,0,0,Not_Available
大理,False,0,0,Not_Available
西双版纳州,False,0,0,Not_Available
文山州,False,0,0,Not_Available
普洱,False,0,0,Not_Available
楚雄州,False,0,0,Not_Available
丽江市,False,0,0,Not_Available
临沧,False,0,0,Not_Available
香港,True,83,0,Not_Available
地区待确认,True,83,0,Not_Available
广西,True,79,0,Not_Available
境外输入,True,79,0,Not_Available
桂林,False,0,0,Not_Available
北海,False,0,0,Not_Available
防城港,False,0,0,Not_Available
来宾,False,0,0,Not_Available
柳州,False,0,0,Not_Available
河池,False,0,0,Not_Available
南宁,False,0,0,全部低风险
玉林,False,0,0,Not_Available
钦州,False,0,0,Not_Available
贵港,False,0,0,Not_Available
梧州,False,0,0,Not_Available
百色,False,0,0,Not_Available
贺州,False,0,0,Not_Available
河南,True,74,0,Not_Available
郑州,False,54,0,全部低风险
周口,False,17,0,全部低风险
境外输入,False,11,0,Not_Available
开封,False,3,0,全部低风险
商丘,False,3,0,全部低风险
驻马店,False,3,0,全部低风险
许昌,False,1,0,全部低风险
安阳,False,1,0,全部低风险
三门峡,False,0,0,Not_Available
漯河,False,0,0,Not_Available
南阳,False,0,0,Not_Available
信阳,False,0,0,Not_Available
济源示范区,False,0,0,Not_Available
新乡,False,0,0,Not_Available
焦作,False,0,0,Not_Available
平顶山,False,0,0,Not_Available
洛阳,False,0,0,Not_Available
濮阳,False,0,0,Not_Available
鹤壁,False,0,0,Not_Available
地区待确认,True,-19,0,Not_Available
上海,True,64,0,Not_Available
境外输入,True,61,0,Not_Available
浦东,False,2,0,部分中风险
青浦,False,1,0,部分中风险
嘉定,False,0,0,Not_Available
地区待确认,False,0,0,Not_Available
宝山,False,0,0,Not_Available
黄浦,False,0,0,全部低风险
长宁,False,0,0,全部低风险
境外来沪,False,0,0,Not_Available
外地来沪,False,0,0,Not_Available
松江,False,0,0,全部低风险
徐汇,False,0,0,Not_Available
静安,False,0,0,Not_Available
崇明,False,0,0,Not_Available
金山,False,0,0,Not_Available
虹口,False,0,0,Not_Available
奉贤,False,0,0,Not_Available
杨浦,False,0,0,Not_Available
普陀,False,0,0,Not_Available
闵行,False,0,0,Not_Available
广东,True,58,0,Not_Available
境外输入,True,59,0,Not_Available
中山,False,1,0,全部低风险
揭阳,False,0,0,Not_Available
东莞,False,0,0,全部低风险
深圳,False,0,0,全部低风险
佛山,False,0,0,全部低风险
广州,False,0,0,全部低风险
湛江,False,0,0,全部低风险
汕尾,False,0,0,Not_Available
珠海,False,0,0,Not_Available
汕头,False,0,0,Not_Available
潮州,False,0,0,Not_Available
江门,False,0,0,Not_Available
梅州,False,0,0,Not_Available
肇庆,False,0,0,Not_Available
阳江,False,0,0,Not_Available
惠州,False,0,0,Not_Available
茂名,False,0,0,Not_Available
韶关,False,0,0,Not_Available
清远,False,0,0,Not_Available
河源,False,0,0,Not_Available
地区待确认,False,-2,0,Not_Available
内蒙古,True,41,0,Not_Available
呼伦贝尔,True,39,0,部分中高风险
通辽,True,2,0,全部低风险
呼和浩特,False,0,0,全部低风险
境外输入,False,0,0,Not_Available
锡林郭勒,False,0,0,全部低风险
鄂尔多斯,False,0,0,Not_Available
阿拉善盟,False,0,0,全部低风险
包头,False,0,0,Not_Available
乌兰察布,False,0,0,Not_Available
赤峰,False,0,0,Not_Available
巴彦淖尔,False,0,0,Not_Available
乌海,False,0,0,Not_Available
兴安盟,False,0,0,Not_Available
黑龙江,True,36,0,Not_Available
黑河,True,36,0,全部低风险
牡丹江,False,0,0,全部低风险
哈尔滨,False,0,0,全部低风险
绥化,False,0,0,Not_Available
地区待确认,False,0,0,Not_Available
齐齐哈尔,False,0,0,全部低风险
大庆,False,0,0,全部低风险
境外输入,False,0,0,Not_Available
大兴安岭,False,0,0,Not_Available
双鸭山,False,0,0,Not_Available
鹤岗,False,0,0,Not_Available
七台河,False,0,0,Not_Available
鸡西,False,0,0,Not_Available
伊春,False,0,0,Not_Available
佳木斯,False,0,0,Not_Available
山东,True,32,0,Not_Available
境外输入,True,29,0,Not_Available
日照,False,3,0,全部低风险
潍坊,False,0,0,Not_Available
青岛,False,0,0,Not_Available
济宁,False,0,0,Not_Available
济南,False,0,0,Not_Available
枣庄,False,0,0,Not_Available
淄博,False,0,0,Not_Available
烟台,False,0,0,Not_Available
泰安,False,0,0,Not_Available
威海,False,0,0,Not_Available
临沂,False,0,0,Not_Available
德州,False,0,0,Not_Available
聊城,False,0,0,Not_Available
滨州,False,0,0,Not_Available
菏泽,False,0,0,Not_Available
四川,False,25,0,Not_Available
成都,True,18,0,全部低风险
境外输入,True,14,0,Not_Available
自贡,False,1,0,全部低风险
攀枝花,False,0,0,Not_Available
宜宾,False,0,0,Not_Available
泸州,False,0,0,Not_Available
绵阳,False,0,0,全部低风险
雅安,False,0,0,Not_Available
德阳,False,0,0,Not_Available
凉山,False,0,0,Not_Available
甘孜,False,0,0,Not_Available
阿坝,False,0,0,Not_Available
资阳,False,0,0,Not_Available
眉山,False,0,0,Not_Available
巴中,False,0,0,Not_Available
达州,False,0,0,Not_Available
广安,False,0,0,Not_Available
南充,False,0,0,Not_Available
乐山,False,0,0,Not_Available
内江,False,0,0,Not_Available
遂宁,False,0,0,Not_Available
广元,False,0,0,Not_Available
地区待确认,True,-8,0,Not_Available
河北,True,23,0,Not_Available
辛集市,True,20,0,全部低风险
石家庄,False,6,0,全部低风险
秦皇岛,False,0,0,Not_Available
衡水,False,0,0,Not_Available
保定,True,0,0,全部低风险
境外输入,False,0,0,Not_Available
廊坊,False,0,0,全部低风险
沧州,False,0,0,Not_Available
张家口,False,0,0,Not_Available
唐山,False,0,0,Not_Available
邯郸,False,0,0,Not_Available
承德,False,0,0,Not_Available
邢台,True,-1,0,全部低风险
地区待确认,True,-2,0,Not_Available
天津,True,22,0,Not_Available
境外输入,True,22,0,Not_Available
宁河区,False,0,0,Not_Available
北辰区,False,0,0,Not_Available
宝坻区,False,0,0,Not_Available
河北区,False,0,0,Not_Available
津南区,False,0,0,Not_Available
南开区,False,0,0,Not_Available
河东区,False,0,0,Not_Available
滨海新区,False,0,0,全部低风险
和平区,False,0,0,Not_Available
外地来津,False,0,0,Not_Available
河西区,False,0,0,Not_Available
东丽区,False,0,0,Not_Available
武清区,False,0,0,Not_Available
西青区,False,0,0,Not_Available
红桥区,False,0,0,Not_Available
江苏,True,17,0,Not_Available
境外输入,False,17,0,Not_Available
常州,False,0,0,全部低风险
地区待确认,False,0,0,Not_Available
扬州,False,0,0,Not_Available
南京,False,0,0,Not_Available
宿迁,False,0,0,Not_Available
淮安,False,0,0,Not_Available
盐城,False,0,0,Not_Available
南通,False,0,0,Not_Available
苏州,False,0,0,Not_Available
无锡,False,0,0,Not_Available
徐州,False,0,0,Not_Available
连云港,False,0,0,Not_Available
镇江,False,0,0,Not_Available
泰州,False,0,0,Not_Available
福建,True,16,0,Not_Available
境外输入,True,16,0,Not_Available
厦门,False,0,0,Not_Available
地区待确认,False,0,0,Not_Available
漳州,False,0,0,Not_Available
莆田,False,0,0,Not_Available
泉州,False,0,0,全部低风险
宁德,False,0,0,Not_Available
龙岩,False,0,0,Not_Available
南平,False,0,0,Not_Available
三明,False,0,0,Not_Available
福州,False,0,0,Not_Available
浙江,True,14,0,Not_Available
境外输入,False,13,0,Not_Available
杭州,False,1,0,全部低风险
衢州,False,0,0,Not_Available
省十里丰监狱,False,0,0,Not_Available
丽水,False,0,0,Not_Available
舟山,False,0,0,Not_Available
台州,False,0,0,Not_Available
金华,False,0,0,Not_Available
绍兴,False,0,0,Not_Available
嘉兴,False,0,0,Not_Available
湖州,False,0,0,Not_Available
温州,False,0,0,Not_Available
宁波,False,0,0,Not_Available
北京,True,9,0,Not_Available
境外输入,False,47,0,Not_Available
昌平,False,37,0,全部低风险
海淀,False,7,0,全部低风险
房山,False,5,0,Not_Available
丰台,False,4,0,全部低风险
朝阳,False,3,0,全部低风险
外地来京,False,1,0,Not_Available
密云,False,0,0,Not_Available
怀柔,False,0,0,全部低风险
顺义,False,0,0,全部低风险
大兴,False,0,0,全部低风险
门头沟,False,0,0,Not_Available
石景山,False,0,0,Not_Available
东城,False,0,0,Not_Available
通州,False,0,0,Not_Available
西城,False,0,0,Not_Available
延庆,False,0,0,Not_Available
地区待确认,True,-95,0,Not_Available
陕西,True,7,0,Not_Available
境外输入,True,7,0,Not_Available
韩城,False,0,0,Not_Available
渭南,False,0,0,全部低风险
地区待确认,False,0,0,Not_Available
咸阳,False,0,0,Not_Available
汉中,False,0,0,Not_Available
杨凌,False,0,0,Not_Available
西安,False,0,0,Not_Available
榆林,False,0,0,Not_Available
商洛,False,0,0,Not_Available
铜川,False,0,0,Not_Available
延安,False,0,0,Not_Available
宝鸡,False,0,0,Not_Available
安康,False,0,0,Not_Available
重庆,True,5,0,Not_Available
长寿区,False,2,0,全部低风险
两江新区,False,1,0,全部低风险
九龙坡区,False,1,0,全部低风险
巴南区,False,1,0,全部低风险
高新区,False,0,0,全部低风险
境外输入,False,0,0,Not_Available
沙坪坝区,False,0,0,Not_Available
江津区,False,0,0,Not_Available
大足区,False,0,0,Not_Available
荣昌区,False,0,0,Not_Available
綦江区,False,0,0,Not_Available
江北区,False,0,0,Not_Available
丰都县,False,0,0,Not_Available
潼南区,False,0,0,Not_Available
铜梁区,False,0,0,Not_Available
南岸区,False,0,0,Not_Available
万州区,False,0,0,Not_Available
渝中区,False,0,0,Not_Available
垫江县,False,0,0,Not_Available
云阳县,False,0,0,Not_Available
奉节县,False,0,0,Not_Available
石柱县,False,0,0,Not_Available
渝北区,False,0,0,Not_Available
涪陵区,False,0,0,Not_Available
彭水县,False,0,0,Not_Available
忠县,False,0,0,Not_Available
开州区,False,0,0,Not_Available
合川区,False,0,0,Not_Available
巫溪县,False,0,0,Not_Available
大渡口区,False,0,0,Not_Available
巫山县,False,0,0,Not_Available
万盛经开区,False,0,0,Not_Available
酉阳县,False,0,0,Not_Available
璧山区,False,0,0,Not_Available
永川区,False,0,0,Not_Available
武隆区,False,0,0,Not_Available
梁平区,False,0,0,Not_Available
城口县,False,0,0,Not_Available
黔江区,False,0,0,Not_Available
